"srx.enips","pr5.enlba","145367.0","pr2.thlon"
"pr2.hobir","pr2.enlba","156660.0","pr5.enlba"
"cx.goog.enlcs","ar11-cdn.enlcs","51670.0","cx.goog.hobir"
"cx.goog.enyrk","ar11-cdn.enyrk","51930.0","cx.goog.hobir"
"srx.encmg","pr5.enlba","137662.0","pr2.thlon"
"cx.goog.hobir","ar11-cdn.hobir","96158.57142857143","cx.goog.enlba"
"srx.enbrs","pr5.hobir","69929.0","pr2.bllon"
"cx.l3.bllon","ar11-cdn.bllon","19252.5","cx.l3.enlba"
"srx.enbrs","pr2.bllon","69929.0","pr5.hobir"
"srx.sycwr","pr2.bllon","89357.0","dx.octo.thlon"
"srx.syost","pr5.bllon","206570.0","pr2.thlon"
"cx.l3.enlba","ar11-cdn.enlba","25332.5","cx.l3.hobir"
"srx.enedi","pr2.enlba","112416.0","er12.thlon"
"srx.enshf","pr2.enlba","125539.0","er12.thlon"
"srx.mimnc","pr2.enlba","142383.0","pr5.hobir"
"srx.pomnc","pr5.enlba","114644.0","pr2.hobir"
"cx.l3g.bllon","ar11-cdn.bllon","87660.0","cx.l3g.enlba"
"srx.encdf","pr5.bllon","199725.0","pr2.hobir"
"srx.enhmi","pr2.bllon","61278.0","pr5.thlon"
"pr2.thlon","pr2.bllon","163510.0","pr5.bllon"
"cx.l3g.enlba","ar11-cdn.enlba","85806.66666666667","cx.l3g.bllon"
"cx.l3g.hobir","ar11-cdn.hobir","76066.66666666667","cx.l3g.bllon"
"srx.englo","pr2.hobir","90343.0","pr5.bllon"
"srx.ennth","pr5.hobir","21054.0","pr2.enlba"
"srx.enswa","pr2.hobir","28531.0","pr5.bllon"
"srx.mimnc","pr5.hobir","142383.0","pr2.enlba"
"cx.l3.hobir","ar11-cdn.hobir","19392.5","cx.l3.enlba"
"srx.enalw","pr2.hobir","23290.0","pr5.enlba"
"srx.endnd","pr2.hobir","30677.0","pr5.enlba"
"srx.enkmk","pr2.hobir","40340.0","pr5.enlba"
"cx.l3.thlon","ar14-cdn.thlon","15832.5","cx.l3.enlba"
