"srx.encdf","pr2.hobir","190115"
"cx.mcdn.thlon","ar14-cdn.thlon","26430"
"cx.ntf.bllon","ar11-cdn.bllon","55080"
"cx.ntf.enbgk","ar11-cdn.enbgk","44250"
"cx.ntf.enlba","ar11-cdn.enlba","93410"
"cx.ntf.enlcs","ar11-cdn.enlcs","37920"
"cx.ntf.hobir","ar11-cdn.hobir","108560"
"cx.ntf.thlon","ar14-cdn.thlon","56060"
"srx.txlon","pr2.thlon","6751"
"cx.vlcx.bllon","ar11-cdn.bllon","51010"
"cx.vlcx.enbgk","ar11-cdn.enbgk","27570"
"cx.vlcx.encax","ar11-cdn.encax","25230"
"cx.vlcx.enlba","ar11-cdn.enlba","52820"
"cx.vlcx.enlcs","ar11-cdn.enlcs","24570"
"cx.vlcx.hobir","ar11-cdn.hobir","42590"
"srx.endvz","pr2.hobir","1050"
"px1.amzn.thlon","er13.thlon","125303"
"pr2.bllon","er13.thlon","217141"
"px.tt.thlon","er13.thlon","794746"
"px.tt.thlon","er12.thlon","800621"
"pr5.enlba","er12.thlon","315429"
"pr5.thlon","er12.thlon","443348"
"pr5.bllon","er12.thlon","316691"
"pr5.hobir","er12.thlon","440711"
"pr2.enlba","er13.thlon","273530"
"srx.encax","pr2.enlba","11826"
"pr2.hobir","er13.thlon","516992"
"pr2.thlon","er13.thlon","434005"
"srx.enfol","pr5.thlon","0"
"srx.enhmi","pr5.thlon","40688"
"srx.enmid","pr2.hobir","35150"
"srx.enmik","pr5.thlon","98553"
"srx.ennrw","pr2.thlon","39179"
"srx.enpet","pr5.thlon","50956"
"srx.enrdn","pr2.thlon","53830"
"srx.enslo","pr2.thlon","38055"
"srx.enwrk","pr5.thlon","38780"
"srx.pomnc","pr2.hobir","106464"
"srx.syost","pr2.thlon","183310"
"px1.appl.thlon","er12.thlon","36368"
"srx.bllon","pr5.bllon","76881"
"srx.enedi","pr5.hobir","38317"
"srx.engta","pr5.enlba","6463"
"srx.enlba","pr5.enlba","48790"
"srx.enlpl","pr5.enlba","42065"
"srx.enncl","pr5.hobir","44126"
"srx.enntg","pr5.thlon","40941"
"srx.enshf","pr5.thlon","42765"
"srx.enyrk","pr5.hobir","12593"
"srx.fnbsh","pr5.thlon","36968"
"srx.hobir","pr5.hobir","42338"
"srx.thlon","pr5.thlon","60714"
"px1.bbc.thlon","er12.thlon","17727"
"px1.cflr.thlon","er12.thlon","11483"
"px1.edge.thlon","er12.thlon","178076"
"px1.fcbk.thlon","er12.thlon","241194"
"px1.goog.thlon","er12.thlon","219357"
"px1.jtv.thlon","er12.thlon","23316"
"px1.lime.enslo","er12.enslo","11547"
"pr2.bllon","er12.enslo","132407"
"pr5.enlba","er12.enslo","58594"
"pr5.thlon","er12.enslo","103105"
"pr5.bllon","er12.enslo","66429"
"pr5.hobir","er12.enslo","96808"
"pr2.enlba","er12.enslo","224563"
"pr2.hobir","er12.enslo","252004"
"pr2.thlon","er12.enslo","240649"
"px1.lime.thlon","er12.thlon","94499"
"px1.vlv.thlon","er12.thlon","57161"
"px2.amzn.enslo","er12.enslo","191776"
"px2.appl.thlon","er13.thlon","200558"
"px2.bbc.thlon","er13.thlon","16473"
"px2.cflr.thlon","er13.thlon","11505"
"px2.edge.thlon","er13.thlon","176816"
"px2.fcbk.thlon","er13.thlon","195555"
"px2.goog.thlon","er13.thlon","126442"
"px2.jtv.thlon","er13.thlon","20442"
"px2.lime.thlon","er13.thlon","72845"
"px2.vlv.thlon","er13.thlon","52439"
"px.aanp.enslo","er12.enslo","120512"
"px.aanp.thlon","er12.thlon","161388"
"px.appl.enslo","er12.enslo","150795"
"px.fast.enslo","er12.enslo","26746"
"px.fcbk.enslo","er12.enslo","107934"
"px.gmbh.thlon","er13.thlon","111611"
"px.goog.enslo","er12.enslo","186400"
"px.hwnd.thlon","er12.thlon","203441"
"px.linx.enslo","er12.enslo","7040"
"px.linx.thlon","er12.thlon","95352"
"px.lnap.thlon","er13.thlon","100203"
"px.lswb.thlon","er12.thlon","17893"
"px.m247.thlon","er12.thlon","12999"
"px.msft.enslo","er12.enslo","97028"
"px.ntf.thlon","er12.thlon","52100"
"px.ovh.thlon","er12.thlon","41706"
"tx.l3.enslo","er12.enslo","85949"
"tx.l3.thlon","er13.thlon","94100"
"tx.ntt.enslo","er12.enslo","99741"
"tx.ntt.thlon","er13.thlon","163717"
"tx.tnet.enslo","er12.enslo","89091"
"tx.tnet.thlon","er13.thlon","13647"
